Departamento,Código Divipola Departamento,Municipio,Código Divipola Municipio,Programa,Año de Asignacion,Estado,No.SFV Asignados,Valor Asignado
ANTIOQUIA,05,MEDELLIN,05001,Sentencias judiciales,2022,Asignados,15,1139110000
ANTIOQUIA,05,APARTADO,05045,Sentencias judiciales,2022,Asignados,3,222675000
ANTIOQUIA,05,NARIÑO,05483,Sentencias judiciales,2022,Asignados,2,166000000
ANTIOQUIA,05,NECOCLI,05490,Convocatoria,2022,Asignados,18,1260000000
ANTIOQUIA,05,SAN JUAN DE URABA,05659,Convocatoria,2022,Asignados,43,3010000000
ARAUCA,81,ARAUQUITA,81065,ETCR,2022,Asignados,177,15930000000
ARAUCA,81,FORTUL,81300,Convocatoria,2022,Asignados,50,3213000000
ARAUCA,81,TAME,81794,Convocatoria,2022,Asignados,51,3277260000
BOGOTA D. C.,11,BOGOTA,11001,Sentencias judiciales,2022,Asignados,11,866655000
BOLIVAR,13,ARENAL,13042,Convocatoria,2022,Asignados,31,1992060000
BOLIVAR,13,SIMITI,13744,Convocatoria,2022,Asignados,24,1542240000
BOYACA,15,ARCABUCO,15051,Convocatoria,2022,Asignados,13,910000000
BOYACA,15,MONIQUIRA,15469,Convocatoria,2022,Asignados,24,1680000000
BOYACA,15,TOGUI,15816,Convocatoria,2022,Asignados,20,1400000000
CAUCA,19,POPAYAN,19001,Compromiso,2022,Asignados,9,167475861
CAUCA,19,POPAYAN,19001,Sentencias judiciales,2022,Asignados,11,770000000
CAUCA,19,CALDONO,19137,Compromiso,2022,Asignados,37,688511873
CAUCA,19,CALDONO,19137,ETCR,2022,Asignados,54,4860000000
CAUCA,19,CALOTO,19142,Compromiso,2022,Asignados,13,241909577
CAUCA,19,EL TAMBO,19256,Compromiso,2022,Asignados,13,241909577
CAUCA,19,INZA,19355,Compromiso,2022,Asignados,64,2290579364
CAUCA,19,LA VEGA,19397,Compromiso,2022,Asignados,22,409385438
CAUCA,19,PAEZ,15514,Compromiso,2021,Asignados,27,1602067491
CAUCA,19,PAEZ,15514,Compromiso,2022,Asignados,220,13053883260
CAUCA,19,PURACE,19585,Compromiso,2022,Asignados,22,409385438
CAUCA,19,SANTANDER DE QUILICHAO,19698,Compromiso,2022,Asignados,24,446602296
CAUCA,19,SILVIA,19743,Compromiso,2022,Asignados,16,297734864
CAUCA,19,TORIBIO,19821,Compromiso,2022,Asignados,13,241909577
CAUCA,19,TOTORO,19824,Compromiso,2022,Asignados,11,204692719
CESAR,20,VALLEDUPAR,20001,Convocatoria,2022,Asignados,36,2313360000
CESAR,20,AGUSTIN CODAZZI,20013,Convocatoria,2022,Asignados,7,449820000
CESAR,20,ROBLES (LA PAZ),20621,Convocatoria,2022,Asignados,7,449820000
CESAR,20,SAN DIEGO,20750,Convocatoria,2022,Asignados,22,1413720000
CORDOBA,23,MONTERIA,23001,Sentencias judiciales,2022,Asignados,10,753550000
CORDOBA,23,MONTELIBANO,23466,Convocatoria,2022,Asignados,71,4562460000
CORDOBA,23,PUERTO LIBERTADOR,23580,Convocatoria,2022,Asignados,80,5140800000
CUNDINAMARCA,25,ALBAN,25019,Sentencias judiciales,2022,Asignados,1,78450000
MAGDALENA,47,ARACATACA,47053,Convocatoria,2022,Asignados,20,1285200000
META,50,VILLAVICENCIO,50001,Sentencias judiciales,2022,Asignados,2,147150000
NARIÑO,52,PASTO,52001,Sentencias judiciales,2022,Asignados,7,490000000
NARIÑO,52,EL TABLON,52258,Sentencias judiciales,2022,Asignados,7,490000000
NARIÑO,52,TUMACO,52835,Sentencias judiciales,2022,Asignados,1,70000000
NORTE DE SANTANDER,54,CUCUTA,54001,Sentencias judiciales,2022,Asignados,5,393875000
NORTE DE SANTANDER,54,ABREGO,54003,Sentencias judiciales,2022,Asignados,1,70000000
NORTE DE SANTANDER,54,CONVENCION,54206,Convocatoria,2022,Asignados,11,706860000
NORTE DE SANTANDER,54,EL CARMEN,54245,Convocatoria,2022,Asignados,35,2249100000
PUTUMAYO,86,MOCOA,86001,Sentencias judiciales,2022,Asignados,5,350000000
RISARALDA,66,PEREIRA,66001,Sentencias judiciales,2022,Asignados,12,882835000
SUCRE,70,MORROA,70473,Convocatoria,2022,Asignados,26,1670760000
SUCRE,70,PALMITO,70523,Convocatoria,2022,Asignados,32,2056320000
SUCRE,70,SAMPUES,70670,Convocatoria,2022,Asignados,14,899640000
SUCRE,70,SAN ONOFRE,70713,Convocatoria,2022,Asignados,13,835380000
SUCRE,70,SINCE,70742,Convocatoria,2022,Asignados,24,1542240000
TOLIMA,73,IBAGUE,73001,Sentencias judiciales,2022,Asignados,9,682325000
VALLE DEL CAUCA,76,CALI,76001,Sentencias judiciales,2022,Asignados,12,840000000
VICHADA,99,LA PRIMAVERA,99524,Convocatoria,2022,Asignados,40,2570400000
VICHADA,99,SANTA ROSALIA,99624,Convocatoria,2022,Asignados,21,1349460000
